"phrase","definition","example","example_translation","context_type"
"Get down","要求對方蹲下或從高處下來","Seeing the child on the fence, Mom shouted, 'Get down from there!'","媽媽看到孩子爬上圍牆，大喊：『快從那裡下來！』","A1"
"Hold on tight","提醒對方牢牢抓緊","As the small boat hit a wave, the guide called, 'Hold on tight!'","小船撞上浪頭時，嚮導喊道：『抓緊！』","A2"
"Hit the road","（口語）表示該出發上路了","After loading the last suitcase, Dad said, 'Hit the road before traffic builds.'","裝好最後一個行李箱後，爸爸說：『趁塞車前上路吧。』","B1"
"Where to","（簡短口語）詢問目的地是哪裡","The taxi driver started the meter and asked, 'Where to, ma'am?'","計程車司機按下跳表問：『女士，要去哪裡？』","A1"
"Fill up the tank","要求把油箱加滿","Before crossing the desert, Lia told the attendant, 'Fill up the tank, please.'","穿越沙漠前，莉亞對加油員說：『請把油箱加滿。』","A2"
"Do you have change","詢問對方是否能找零或有零錢","At the market stall, I held out a large bill and asked, 'Do you have change?'","在市場攤位前，我拿出大鈔問：『你有零錢可以找嗎？』","A1"
"It could be","表示某種可能性確實存在","'Is that noise coming from the heater?' 'It could be,' the technician said.","『那個聲音是暖氣發出的嗎？』『有可能。』技師說。","A2"
"Time's up","（口語）告知限定時間已結束，必須停下","'Time's up,' the teacher said. 'Please put down your pencils.'","老師說：『時間到了，請放下鉛筆。』","A2"
"Just wait and see","要對方耐心等著看結果","When the children asked about dessert, Mom smiled, 'Just wait and see.'","孩子們問甜點是什麼時，媽媽笑說：『等著看就知道了。』","A2"
"The line is busy","表示電話線路正在通話中","After calling the clinic twice, Nina said, 'The line is busy again.'","打了兩次給診所後，妮娜說：『電話又在忙線。』","A2"
"One moment","禮貌請對方稍等片刻","The receptionist checked the schedule and said, 'One moment, please.'","接待員查看時程後說：『請稍等一下。』","A1"
"Stop it","要求對方立刻停止某個行為","When the twins splashed water indoors, Dad said, 'Stop it right now.'","雙胞胎在屋內潑水時，爸爸說：『立刻住手。』","A1"
"That's impossible","表示認為某事不可能做到或發生","When told the parcel arrived overnight, the clerk said, 'That's impossible—we sent it today.'","聽說包裹一夜送達時，店員說：『不可能，我們今天才寄。』","A2"
"Watch your mouth","警告對方說話要有分寸","After the rude remark, the coach told the player, 'Watch your mouth.'","球員出言不遜後，教練警告：『說話注意一點。』","B1"
"Say no more","表示已完全明白，不必再解釋","'We need someone to taste the cake.' 'Say no more—I'm ready.'","『我們需要有人試吃蛋糕。』『不用多說，我準備好了。』","B1"
"Enough is enough","表示忍耐已到極限，必須停止","After months of noisy nights, the tenant said, 'Enough is enough—I'm moving.'","忍受數月夜間噪音後，房客說：『受夠了，我要搬走。』","B1"
"It's going too far","表示某行為已經太過分","When the prank damaged a car, Maya said, 'It's going too far now.'","惡作劇損壞汽車時，瑪雅說：『這已經太過分了。』","B1"
"Control yourself","要求情緒激動的人克制自己","During the heated match, the referee warned a player, 'Control yourself.'","激烈比賽中，裁判警告一名球員：『控制一下自己。』","B1"
"Don't let me down","要求對方別辜負自己的信任","Before the important delivery, the manager said, 'Don't let me down today.'","重要配送前，經理說：『今天別讓我失望。』","B1"
"You are just in time","表示對方正好及時趕到","As the doors were closing, Mia smiled, 'You are just in time for the show.'","大門即將關閉時，米雅笑說：『你正好趕上表演。』","A2"
"Don't be silly","（口語）要對方別說傻話或別胡鬧","When I offered to pay her back for tea, Ana laughed, 'Don't be silly.'","我說要還安娜茶錢時，她笑道：『別傻了。』","A2"
"Shame on you","責備對方的行為不應該","When Leo mocked the new student, his sister said, 'Shame on you.'","里歐嘲笑新同學時，姊姊責備：『你真不應該。』","B1"
"Got it","（口語）表示已理解或收到指示","The supervisor showed me the switch and asked if I understood; I said, 'Got it.'","主管指給我看開關並確認我是否明白，我回答：『懂了。』","A2"
"I have no choice","表示情況迫使自己只能如此","With the last bus canceled, Nina sighed, 'I have no choice but to take a taxi.'","末班公車取消後，妮娜嘆道：『我只能搭計程車了。』","B1"
"I knew it","表示結果印證了自己的猜想","When the missing cat emerged from the shed, Dad smiled, 'I knew it!'","失蹤的貓從棚子走出來時，爸爸笑說：『我就知道！』","A2"
"Forget it","表示別再提或乾脆算了","When the repair cost doubled, Ben said, 'Forget it—I'll buy a new lamp.'","維修費翻倍時，班說：『算了，我買盞新燈。』","A2"
"I doubt it","表示不太相信或認為可能性低","'Will the beach be empty today?' 'I doubt it; it's a holiday.'","『今天海灘會沒人嗎？』『我看不會，今天是假日。』","B1"
"Change the subject","要求換個話題，不再談目前內容","When lunch talk became too personal, Ana said, 'Change the subject, please.'","午餐話題變得太私密時，安娜說：『請換個話題。』","B1"
"It depends","表示答案要視條件而定","'Can we eat outside?' 'It depends on the weather,' Mom replied.","『我們能在外面吃嗎？』『要看天氣。』媽媽回答。","A2"
"Wait a second","（口語）請對方稍等一下","As Mia reached for the door, I said, 'Wait a second—you forgot your keys.'","米雅伸手開門時，我說：『等一下，你忘了鑰匙。』","A2"
"Hard to tell","（簡短口語）表示難以判斷","Looking at the distant clouds, the sailor said, 'Hard to tell if rain is coming.'","水手望著遠方的雲說：『很難判斷會不會下雨。』","B1"
"Let me help you","主動提出要協助對方","Seeing Grandma carry two boxes, Max said, 'Let me help you with those.'","看到奶奶搬兩個箱子，麥克斯說：『讓我幫你拿。』","A1"
"Are you sure","確認對方是否確定自己的選擇","Before deleting the file, the app asked, 'Are you sure you want to continue?'","刪除檔案前，應用程式詢問：『你確定要繼續嗎？』","A1"
"Good evening","傍晚或晚間見面時的問候語","As guests entered the restaurant, the host greeted them, 'Good evening.'","客人走進餐廳時，接待員問候：『晚安。』","A1"
"Take a walk","提議或要求出去散步","After dinner, Dad said, 'Take a walk with me around the block.'","晚餐後，爸爸說：『陪我到街區散散步。』","A1"
"Any day will do","表示哪一天都可以配合","'Should we meet Tuesday or Thursday?' 'Any day will do for me.'","『我們週二還是週四見？』『我哪一天都可以。』","A2"
"Get up","要求對方起床或站起來","When the alarm rang, Mom opened the curtains and called, 'Get up, sleepyhead.'","鬧鐘響時，媽媽拉開窗簾喊：『起床了，小瞌睡蟲。』","A1"
"Sit down","請或要求對方坐下","The doctor pointed to the chair and said, 'Sit down and rest your ankle.'","醫師指著椅子說：『坐下來，讓腳踝休息。』","A1"
"Back off","（強硬口語）警告對方退開別逼近","When the dog growled, its owner warned the stranger, 'Back off slowly.'","狗低吼時，飼主警告陌生人：『慢慢退開。』","B1"
"Come on","（口語）催促、鼓勵或表示不耐","As the final runner slowed, her teammates shouted, 'Come on, Mia—you can finish!'","最後一名跑者慢下來時，隊友喊：『加油，米雅，你能跑完！』","A2"
"Cut it out","（口語）要求對方停止惱人行為","When the brothers kept poking each other, Mom said, 'Cut it out, both of you.'","兄弟倆一直互戳時，媽媽說：『你們兩個都住手。』","B1"
"Act your age","責備對方別幼稚，要符合年齡","After Ben threw a fit over the game, his friend said, 'Act your age.'","班因遊戲鬧脾氣後，朋友說：『成熟一點。』","B1"
"Be yourself","鼓勵對方自然展現真實的自己","Before the interview, Ana told her sister, 'Be yourself and speak honestly.'","面試前，安娜對姊姊說：『做你自己，誠實回答。』","A2"
"I told you so","表示結果正如自己先前提醒的那樣","When the weak shelf collapsed, Leo muttered, 'I told you so.'","不牢的架子倒下時，里歐嘀咕：『我早就說過了。』","B1"
"I'm in trouble","表示自己遇上麻煩了","After losing the office keys, Sam whispered, 'I'm in trouble.'","弄丟辦公室鑰匙後，山姆低聲說：『我有麻煩了。』","A2"
"Get out of here","可要求離開，也可驚訝地表示不信","When smoke entered the kitchen, the chef shouted, 'Get out of here now!'","煙霧進入廚房時，主廚大喊：『立刻離開這裡！』","B1"
"Calm yourself","要求對方控制情緒、冷靜下來","Before the hearing began, the lawyer told her client, 'Calm yourself and breathe.'","聽證會開始前，律師對當事人說：『冷靜下來，深呼吸。』","B1"
"No such thing","否認某事物或說法根本不存在","'Is there a perfect job?' 'No such thing,' my mentor replied.","『有完美的工作嗎？』『根本沒有這種事。』導師回答。","B1"
"You're telling me","（口語）表示自己深有同感","'This heat is exhausting.' 'You're telling me—I barely slept.'","『這種熱天真累人。』『可不是嗎，我幾乎沒睡。』","B1"
"Bite your tongue","要求對方別說不吉利或傷人的話","When Max predicted another accident, Grandma said, 'Bite your tongue!'","麥克斯預言又會出意外時，奶奶說：『別說這種不吉利的話！』","B1"
"Let me try","請求讓自己嘗試看看","When the jar would not open, Zoe held out her hand and said, 'Let me try.'","罐子打不開時，柔伊伸出手說：『讓我試試。』","A1"
"Why not","（口語）表示贊成，或反問為何不行","'Want to join our picnic?' 'Why not? I have no plans.'","『想參加我們的野餐嗎？』『好啊，我沒別的安排。』","A2"
"I'm in","（口語）表示願意加入或參加","When friends planned a weekend hike, Maya said, 'I'm in—what should I bring?'","朋友計畫週末健行時，瑪雅說：『我參加，要帶什麼？』","A2"
"I'm out","（口語）表示退出或不參加","When the poker stakes rose, Ben pushed back his chair and said, 'I'm out.'","撲克牌賭注提高時，班把椅子往後推說：『我不玩了。』","A2"
"It's been a long time","久別重逢時表示很久沒見","At the reunion, Nina hugged her old roommate and said, 'It's been a long time.'","同學會上，妮娜抱著老室友說：『好久不見。』","A2"
"Repeat after me","教學時要求對方跟著複誦","The language teacher said, 'Repeat after me: the station is nearby.'","語言老師說：『跟著我念：車站就在附近。』","A1"
"Cheer up","鼓勵心情低落的人振作","After Mia lost the match, her friend said, 'Cheer up—we can practice tomorrow.'","米雅輸掉比賽後，朋友說：『振作點，我們明天可以練習。』","A2"
"Take a breath","提醒對方呼吸並稍微冷靜","Before opening the exam paper, the teacher said, 'Take a breath and read carefully.'","打開考卷前，老師說：『深呼吸，仔細閱讀。』","A2"
"We are all ears","表示大家都準備專心聽對方說","When Priya announced a surprise, her family said, 'We are all ears.'","普莉雅說有驚喜要宣布時，家人說：『我們洗耳恭聽。』","B1"
"Believe it or not","引出令人意外但真實的消息","'Believe it or not, this tiny café has served three presidents,' the guide said.","嚮導說：『信不信由你，這間小咖啡館接待過三位總統。』","B1"
"Don't break the rules","提醒或要求對方不要違規","Before the field trip, the teacher warned, 'Don't break the rules at the museum.'","校外教學前，老師提醒：『在博物館不要違反規定。』","A2"
"Stop being rude","要求對方停止無禮的言行","When the customer insulted a waiter, his friend said, 'Stop being rude.'","顧客侮辱服務生時，他的朋友說：『別再這麼沒禮貌。』","A2"
"Hold your tongue","要求對方忍住別說出某些話","During the tense meeting, Ana whispered to Ben, 'Hold your tongue for now.'","氣氛緊張的會議中，安娜低聲對班說：『現在先別說。』","B1"
"I'm sorry I'm late","為自己遲到向對方道歉","Rushing into the dental clinic, Leo said, 'I'm sorry I'm late; the bus broke down.'","里歐匆忙走進牙科診所說：『抱歉我遲到了，公車拋錨。』","A1"
"Forgive me","真誠請求對方原諒自己","After forgetting their anniversary, Jon said, 'Forgive me; I will make it up to you.'","忘記紀念日後，喬恩說：『請原諒我，我會補償你。』","A2"
"Where were you","詢問對方之前去了哪裡","When Nina returned after midnight, her roommate asked, 'Where were you?'","妮娜半夜回來時，室友問：『你去哪裡了？』","A1"
"I overslept","表示自己睡過頭了","Arriving at rehearsal breathless, Kai said, 'I overslept and missed my train.'","凱氣喘吁吁抵達排練場，說：『我睡過頭，錯過火車了。』","A2"
"Nice try","稱讚嘗試，也可表示沒被騙到","When the child nearly scored, her coach smiled and said, 'Nice try.'","孩子差點得分時，教練笑著說：『嘗試得不錯。』","A2"
"That's too bad","對不如意的消息表示遺憾","'The outdoor concert was canceled.' 'That's too bad; I had tickets.'","『戶外音樂會取消了。』『真可惜，我已經有票了。』","A2"
"You can do better","鼓勵或要求對方做得更好","After reading the rushed essay, the teacher said, 'You can do better than this.'","老師看完草率的作文後說：『你可以做得更好。』","A2"
"Go easy on me","請對方手下留情或別太嚴格","Before his first chess game, Leo joked, 'Go easy on me—I'm a beginner.'","第一次下棋前，里歐開玩笑說：『手下留情，我是新手。』","B1"
"No pain no gain","表示要有收穫就得付出努力","During the last set, the trainer smiled and said, 'No pain no gain—keep pushing.'","最後一組訓練時，教練笑說：『一分耕耘一分收穫，繼續努力。』","B1"
"Let it be","勸人接受現況，不再干預","When the siblings argued over the crooked poster, Mom said, 'Let it be for tonight.'","手足為貼歪的海報爭論時，媽媽說：『今晚就先這樣吧。』","B1"
"That's life","（口語）無奈接受人生不如意","When rain spoiled our picnic, Dad shrugged and said, 'That's life.'","雨毀了野餐時，爸爸聳肩說：『人生就是這樣。』","B1"
"Time will tell","表示結果要過一段時間才會明朗","Asked whether the new shop would succeed, Maya said, 'Time will tell.'","被問到新店會不會成功時，瑪雅說：『時間會證明一切。』","B1"
"I can't help it","表示自己無法控制某種反應或情況","When the sad film made him cry, Ben said, 'I can't help it.'","悲傷電影讓班哭泣時，他說：『我就是忍不住。』","B1"
"Go for it","（口語）鼓勵對方放手去做","When Ana considered applying for the scholarship, her teacher said, 'Go for it.'","安娜考慮申請獎學金時，老師說：『放手去做吧。』","A2"
"Your turn","（簡短口語）表示輪到對方了","After rolling the dice, Dad passed them to Mia and said, 'Your turn.'","爸爸擲完骰子後交給米雅說：『輪到你了。』","A1"
"Is this correct","詢問內容或做法是否正確","The student showed her calculation and asked, 'Is this correct?'","學生拿出算式問：『這樣正確嗎？』","A1"
"Of course","表示當然同意或答案很明確","'May I use your charger?' 'Of course—it's on the desk.'","『我可以用你的充電器嗎？』『當然，在桌上。』","A1"
"Not exactly","（口語）表示不完全正確","'So the meeting is canceled?' 'Not exactly; it was moved online.'","『所以會議取消了？』『不完全是，改成線上舉行。』","A2"
"I made it","表示成功做到或及時抵達","Reaching the gate before it closed, Nina laughed, 'I made it!'","妮娜在登機門關閉前趕到，笑道：『我趕上了！』","A2"
"Congratulations","用來祝賀對方取得好結果","When Omar announced his promotion, everyone said, 'Congratulations!'","奧瑪宣布升職時，大家都說：『恭喜！』","A1"
"Let's take a selfie","提議大家一起自拍","At the mountain viewpoint, Lia raised her phone and said, 'Let's take a selfie.'","在山景觀景台，莉亞舉起手機說：『我們來自拍吧。』","A1"
"Turn off the lights","要求把燈關掉","Before leaving the office, the manager reminded me, 'Turn off the lights.'","離開辦公室前，經理提醒我：『把燈關掉。』","A1"
"Let's go together","提議彼此同行","When we learned we had the same appointment, Mia said, 'Let's go together.'","得知我們約在同一時間後，米雅說：『我們一起去吧。』","A1"
"I'll go with you","表示願意陪對方一起去","When Dad needed to visit the clinic, I said, 'I'll go with you.'","爸爸需要去診所時，我說：『我陪你一起去。』","A1"
"Nice to meet you","初次見面時的禮貌問候","At the new office, Chen shook my hand and said, 'Nice to meet you.'","在新辦公室，陳與我握手說：『很高興認識你。』","A1"
"You made my day","（口語）表示對方讓自己非常開心","When a child gave her a thank-you card, the nurse said, 'You made my day.'","孩子送給護理師一張感謝卡時，她說：『你讓我今天好開心。』","B1"
"Thanks for coming","感謝對方特地前來","As the last guest left, the host smiled and said, 'Thanks for coming.'","最後一位客人離開時，主人笑說：『謝謝你來。』","A1"
"Let's call it a day","提議今天工作到此為止","After packing the final order, the supervisor said, 'Let's call it a day.'","打包完最後一筆訂單後，主管說：『今天就做到這裡吧。』","B1"
"I'm home","回到家時告知家人自己到了","Opening the front door after work, Dad called, 'I'm home!'","爸爸下班打開前門時喊道：『我回來了！』","A1"
"Welcome back","歡迎對方回來","When Ana returned from her trip, her coworkers said, 'Welcome back!'","安娜旅行歸來時，同事們說：『歡迎回來！』","A1"
"Take care","道別時叮嚀對方保重","As Grandma boarded the train, we waved and called, 'Take care!'","奶奶登上火車時，我們揮手喊道：『保重！』","A1"
"Keep in touch","道別時希望日後保持聯絡","On our last day at camp, Zoe told her cabin mates, 'Keep in touch.'","營隊最後一天，柔伊對同房夥伴說：『要保持聯絡。』","A2"
"You are the best","熱情稱讚對方非常出色","When Ben fixed my bike for free, I laughed, 'You are the best!'","班免費修好我的腳踏車時，我笑說：『你最棒了！』","A1"
"Time for bed","表示到了該上床睡覺的時間","After the bedtime story, Mom closed the book and said, 'Time for bed.'","睡前故事講完後，媽媽闔上書說：『該睡覺了。』","A1"
"Sweet dreams","睡前祝對方做個好夢","Dad tucked in the children and whispered, 'Sweet dreams, both of you.'","爸爸替孩子們蓋好被子，低聲說：『你們倆做個好夢。』","A1"
