"word","ipa","pos","inflections","derivatives","definition","example","collocations","context_type"
"Attentive","/əˈtɛntɪv/","adj.","attentive, more attentive, most attentive","attentively (adv.), attention (n.)","專注的；關心的","A good waiter should be attentive to the needs of the customers without being overly intrusive.","attentive audience; highly attentive; attentive to","B1"
"Watchful","/ˈwɑtʃfəl/","adj.","watchful, more watchful, most watchful","watchfully (adv.)","警惕的；注意的","The mother bird kept a watchful eye on her chicks to protect them from potential forest predators.","keep a watchful eye; watchful waiting; remain watchful","C1"
"Dubious","/ˈdubiəs/","adj.","dubious, more dubious, most dubious","dubiously (adv.)","半信半疑的；可疑的","He made the highly dubious claim that the famous rock star is still alive and secretly living in a tropical paradise.","dubious distinction; dubious honor; highly dubious","B2"
"Contented","/kənˈtɛntɪd/","adj.","contented, more contented, most contented","contentedly (adv.), contentment (n.)","滿足的；滿意的","She felt perfectly contented with her quiet life in the countryside, far from the stress of the city.","feel contented; look contented; perfectly contented","C1"
"Disputable","/dɪˈspjutəbəl/","adj.","disputable, more disputable, most disputable","dispute (n.)","有爭議的；可質疑的；不確定的","His controversial speech is full of disputable statements that have been heavily criticized by historical experts.","highly disputable; arguably disputable; disputable claim","B2"
"Incontrovertible","/ˌɪnkɑntrəˈvɜrtəbəl/","adj.","no changes","incontrovertibly (adv.)","無可辯駁的；不容置疑的","The newly discovered DNA evidence against the suspect is absolutely incontrovertible and ensures a conviction.","incontrovertible proof; incontrovertible evidence; absolutely incontrovertible","C1"
"Assertive","/əˈsɜrtɪv/","adj.","assertive, more assertive, most assertive","assertively (adv.), assert (v.)","堅定自信的；果斷的","If you want people to listen to your professional opinions, you'll need to learn to be much more assertive.","assertive behavior; highly assertive; become more assertive","C1"
"Assure","/əˈʃʊr/","v.","assure, assures, assured, assured, assuring","assurance (n.)","向...保證；使確信","Based on our rigorous testing procedures, I can assure you that you will not be disappointed with this product.","assure someone that; let me assure you; confidently assure","C1"
"Untroubled","/ʌnˈtrʌbəld/","adj.","untroubled, more untroubled, most untroubled","trouble (n.)","未受困擾的；平靜的","She remains remarkably untroubled and focused despite the absolute chaos and panic erupting all around her.","untroubled sleep; seemingly untroubled; untroubled by","B1"
"Hesitant","/ˈhɛzətənt/","adj.","hesitant, more hesitant, most hesitant","hesitantly (adv.), hesitate (v.)","猶豫的；遲疑的","Many investors remained hesitant to commit funds until the central bank clarified its long-term policy on interest rates.","hesitant step; feel hesitant; slightly hesitant","B1"
"Eager","/ˈiɡər/","adj.","eager, more eager, most eager","eagerly (adv.), eagerness (n.)","渴望的；熱切的","The graduate students were eager to begin their field research in the Amazon rainforest after months of preparation.","eager to please; eager beaver; seemingly eager","B1"
"Indecisive","/ˌɪndɪˈsaɪsɪv/","adj.","indecisive, more indecisive, most indecisive","indecisively (adv.), indecision (n.)","優柔寡斷的；非決定性的","An indecisive leadership style can lead to significant delays and confusion within a large corporate organization.","indecisive leader; weak and indecisive; indecisive battle","B1"
"Reluctant","/rɪˈlʌktənt/","adj.","reluctant, more reluctant, most reluctant","reluctantly (adv.), reluctance (n.)","不情願的；勉強的","Although the evidence is clear, he might agree but still seems reluctant to admit his own mistakes publicly.","reluctant hero; reluctant to agree; seem reluctant","B1"
"Skeptical","/ˈskɛptɪkəl/","adj.","skeptical, more skeptical, most skeptical","skeptically (adv.), skepticism (n.)","持懷疑態度的","Given their past failures, she's highly skeptical of the researchers' bold claims regarding the new miracle drug.","highly skeptical; remain skeptical; skeptical of","B2"
"Audacious","/ɔˈdeɪʃəs/","adj.","audacious, more audacious, most audacious","audaciously (adv.), audacity (n.)","大膽的；無恥的","Despite the enormous financial risks, she made an audacious decision to quit her secure job and start a business.","audacious plan; audacious move; incredibly audacious","B1"
"Adventurous","/ædˈvɛntʃərəs/","adj.","adventurous, more adventurous, most adventurous","adventurously (adv.), adventure (v.)","愛冒險的；充滿危險的","Traveling alone through the dense jungle proved to be an incredibly adventurous and unforgettable voyage for him.","adventurous spirit; highly adventurous; adventurous journey","B1"
"Gallantry","/ˈɡæləntri/","n. [U]","no changes","gallant (adj.)","英勇；殷勤","The soldiers received medals for their remarkable gallantry and bravery during the intense final battle.","act of gallantry; award for gallantry; display gallantry","B1"
"Heroic","/hɪˈroʊɪk/","adj.","heroic, more heroic, most heroic","heroically (adv.), hero (n.)","英雄的；英勇的","The local community built a monument to honor the heroic efforts of the rescuers during the devastating flood.","heroic effort; heroic deeds; truly heroic","B1"
"Spunky","/ˈspʌŋki/","adj.","spunky, spunkier, spunkiest","spunk (n.)","有膽量的；生氣勃勃的","The spunky little girl refused to back down even when the older kids tried to intimidate her.","spunky kid; spunky attitude; spunky performance","B1"
"Meek","/mik/","adj.","meek, meeker, meekest","meekly (adv.), meekness (n.)","溫順的；柔和的","She may seem incredibly meek and mild in social situations, but it is all a carefully constructed professional act.","meek and mild; meek voice; surprisingly meek","B1"
"Reticent","/ˈrɛtəsənt/","adj.","reticent, more reticent, most reticent","reticence (n.)","沈默寡言的；不願多談的","Her husband is by nature a highly reticent person who prefers to keep his personal thoughts completely to himself.","reticent about; remain reticent; naturally reticent","B1"
"Perception","/pərˈsɛpʃən/","n.","perception, perceptions","perceptive (adj.), perceive (v.)","知覺；觀念","Public perception of the new policy shifted dramatically after the president's televised address.","public perception; visual perception; change perception","B2"
"Explicit","/ɪkˈsplɪsɪt/","adj.","explicit, more explicit, most explicit","explicitly (adv.)","詳盡的；明確的","The experienced doctor gave me very explicit instructions on exactly when and how to take the prescribed medicine.","explicit instructions; explicit content; highly explicit","C1"
"Verity","/ˈvɛrəti/","n.","verity, verities","None","真實；真理","The bureau is less concerned with the verity of the legend than the fact that it attracts visitors.","eternal verity; question the verity; historical verity","B1"
"Approximately","/əˈprɑksəmətli/","adv.","approximately, more approximately, most approximately","approximate (adj.)","大約；近乎","During a lifetime, a person will take approximately 500 million breaths.","approximately equal; approximately half; at approximately the same time","B1"
"Compensate","/ˈkɑmpənˌseɪt/","v.","compensate, compensates, compensated, compensated, compensating","compensation (n.), compensatory (adj.)","補償；賠償","The airline agreed to compensate passengers for the significant delays caused by mechanical issues.","compensate for; fully compensate; adequately compensate","B1"
"Unobservant","/ˌʌnəbˈzɜrvənt/","adj.","unobservant, more unobservant, most unobservant","observant (adj.)","不注意的；不善於觀察的","Trying to avoid involvement, he falsely claimed that he was just an unobservant passerby during the robbery.","highly unobservant; rather unobservant; notoriously unobservant","B1"
"Partial","/ˈpɑrʃəl/","adj.","partial, more partial, most partial","partially (adv.), partiality (n.)","部分的；偏袒的","The investigation reached only a partial conclusion due to the lack of witness cooperation.","partial success; partial to; only partial","C1"
"Apathetic","/ˌæpəˈθɛtɪk/","adj.","apathetic, more apathetic, most apathetic","apathy (n.)","冷漠的；無動於衷的","Due to the lack of meaningful change, young citizens are becoming increasingly apathetic toward local politics.","apathetic attitude; highly apathetic; largely apathetic","B1"
"Frigid","/ˈfrɪdʒɪd/","adj.","frigid, more frigid, most frigid","frigidity (n.)","嚴寒的；冷淡的","The unexpectedly frigid temperatures in early spring significantly delayed the pollination of the fruit trees.","frigid air; frigid response; bitterly frigid","C1"
"Compel","/kəmˈpɛl/","v.","compel, compels, compelled, compelled, compelling","compelling (v.), compulsion (n.)","強迫；迫使","The mounting body of empirical evidence may eventually compel researchers to abandon the long-held theoretical assumptions of the field.","feel compelled; compel someone to; formally compel","B1"
"Permeate","/ˈpɜrmiˌeɪt/","v.","permeate, permeates, permeated, permeated, permeating","permeable (adj.)","滲透；瀰漫","The smell of freshly baked bread permeated the entire building, drawing customers inside.","permeate the air; permeate society; slowly permeate","B1"
"Internal combustion","/ɪnˈtɜrnəl kəmˈbʌstʃən/","n. [U]","no changes","None","內燃（指燃料在引擎汽缸內部燃燒以產生動力的過程）","The invention of the internal combustion engine fundamentally revolutionized the modern automobile industry.","internal combustion engine; internal combustion process; phase out internal combustion","C1"
"Trigger","/ˈtrɪɡər/","v.","trigger, triggers, triggered, triggered, triggering","None","引發；觸發","A sudden change in temperature can often trigger severe allergies and respiratory problems for sensitive individuals.","trigger a memory; trigger an event; automatically trigger","C1"
"Convey","/kənˈveɪ/","v.","convey, conveys, conveyed, conveyed, conveying","conveyance (n.)","傳達；運送","Due to cultural differences, it is often difficult to accurately convey the deep meaning of a traditional poem.","convey meaning; convey a message; accurately convey","B1"
"Degrade","/dɪˈɡreɪd/","v.","degrade, degrades, degraded, degraded, degrading","degradation (n.), degrading (v.)","降低...的身份；使退化","Harsh chemicals can degrade the surface of the material, causing it to crack and lose its protective properties over time.","degrade the environment; mentally degrade; further degrade","B1"
"Norm","/nɔrm/","n.","norm, norms","normal (adj.)","常態；規範","Researchers found that behaviour once regarded as deviant had gradually become the accepted social norm within the community.","social norm; cultural norm; deviate from the norm","B1"
"Anomaly","/əˈnɑməli/","n.","anomaly, anomalies","anomalous (adj.)","異常；反常事物","The unexpected spike in data was considered a statistical anomaly that required further investigation by the team.","statistical anomaly; historical anomaly; correct an anomaly","B2"
"Recede","/rɪˈsid/","v.","recede, recedes, receded, receded, receding","recession (n.)","後退；逐漸減弱","As the floodwaters began to recede, rescue teams moved in to assess the damage.","waters recede; memories recede; begin to recede","B1"
"Intervene","/ˌɪntərˈvin/","v.","intervene, intervenes, intervened, intervened, intervening","intervention (n.)","干涉；介入","The central bank decided to intervene in the currency market in order to stabilize the rapidly depreciating exchange rate.","intervene in a dispute; forcefully intervene; directly intervene","B1"
"Dispute","/dɪˈspjut/","v.","dispute, disputes, disputed, disputed, disputing","disputable (adj.)","對...提出質疑","Several experts have come forward to dispute the official findings of the accident investigation.","dispute a claim; hotly dispute; firmly dispute","C1"
"Indisputable","/ˌɪndɪˈspjutəbəl/","adj.","no changes","indisputably (adv.)","無可爭辯的","The high-resolution satellite imagery provided an indisputable proof of the secret military base construction.","indisputable fact; indisputable proof; practically indisputable","B1"
"Gap","/ɡæp/","n.","gap, gaps","None","缺口；差距","There is a significant gap between what the company promises and what it actually delivers to customers.","bridge the gap; generation gap; wide gap","B1"
"Retrieve","/rɪˈtriv/","v.","retrieve, retrieves, retrieved, retrieved, retrieving","retrieval (n.), retriever (n.)","取回；檢索","The IT team was able to retrieve all the lost data from the damaged hard drive.","retrieve data; retrieve from; quickly retrieve","C1"
"Apply","/əˈplaɪ/","v.","apply, applies, applied, applied, applying","application (n.), applicable (adj.)","申請；應用","Despite her lack of formal qualifications, she intuitively felt that she should apply for the management position.","apply for a job; apply pressure; apply to","C1"
"Acquisition","/ˌækwəˈzɪʃən/","n.","acquisition, acquisitions","acquire (v.)","獲得；收購","The discovery of the ancient Roman artifacts was considered an extremely important acquisition for the national museum.","language acquisition; recent acquisition; complete an acquisition","C1"
"Enamored","/ɪˈnæmərd/","adj.","enamored, more enamored, most enamored","enamor (v.)","迷戀的；傾心的","After visiting Japan, she became completely enamored with its culture, food, and traditional architecture.","enamored with; deeply enamored; completely enamored","B1"
"Infatuated","/ɪnˈfætʃuˌeɪtɪd/","adj.","infatuated, more infatuated, most infatuated","infatuation (n.)","迷戀的；神魂顛倒的","He became so infatuated with the idea of becoming a rock star that he quit his job to pursue music full-time.","infatuated with; become infatuated; wildly infatuated","B1"
"Ardent","/ˈɑrdənt/","adj.","ardent, more ardent, most ardent","ardor (n.), ardently (adv.)","熱烈的；熱情的","She has been an ardent supporter of environmental conservation efforts since her early years in university.","ardent supporter; ardent fan; highly ardent","B1"
"Bone-dry","/ˈboʊn ˈdraɪ/","adj.","no changes","None","乾透的；極乾燥的","The valley remained bone-dry for several months as the expected seasonal rains failed to arrive this year.","bone-dry soil; absolutely bone-dry; leave it bone-dry","B1"
"Parched","/pɑrtʃt/","adj.","parched, more parched, most parched","parch (v.)","焦乾的；極渴的","After hours of hiking under the blazing sun, the travelers were utterly parched and desperately needed water.","parched earth; feel parched; totally parched","B1"
"Barren","/ˈbærən/","adj.","barren, more barren, most barren","barrenness (n.)","貧瘠的；荒蕪的","The landscape was so barren that few creatures could thrive on these desolate mountaintops.","barren land; completely barren; barren landscape","C1"
"Fertile","/ˈfɜrtəl/","adj.","fertile, more fertile, most fertile","fertility (n.), fertilize (v.)","肥沃的；能生育的","The farmer successfully cultivated these fertile fields of corn and oats near the riverbank.","fertile soil; fertile imagination; highly fertile","C1"
"Infertile","/ɪnˈfɜrtəl/","adj.","infertile, more infertile, most infertile","infertility (n.)","貧瘠的；不孕的","Only parched, infertile fields remained after months of severe drought had scorched the entire region.","infertile land; medically infertile; render infertile","C1"
"Stale","/steɪl/","adj.","stale, staler, stalest","staleness (n.)","不新鮮的；陳腐的","The stale bread was dry and tasteless because it had been left on the counter overnight.","stale bread; stale air; become stale","B1"
"Prank","/præŋk/","n.","prank, pranks","prankster (n.)","惡作劇；惡搞","He enjoys playing harmless pranks on his friends to lighten the mood during long study sessions.","play a prank; practical prank; harmless prank","B1"
"Frolic","/ˈfrɑlɪk/","v.","frolic, frolics, frolicked, frolicked, frolicking","frolicsome (adj.)","嬉戲；作樂","The puppies were seen frolicking happily in the sun while the children watched them from the edge of the large garden.","frolic in the sun; playfully frolic; happily frolic","B1"
"Woe","/woʊ/","n.","woe, woes","woeful (adj.), woefully (adv.)","悲哀；不幸","Mary's life was full of woe after she lost her job and her house in the same month.","tale of woe; economic woes; bring woe","B1"
"Mortgage","/ˈmɔrɡɪdʒ/","v.","mortgage, mortgages, mortgaged, mortgaged, mortgaging","mortgagee (n.), mortgagor (n.)","抵押；以（房產或財產）作擔保向他人借款","They had to mortgage their house to raise the funds needed to start their small business.","mortgage a house; heavily mortgage; formally mortgage","C1"
"Simultaneous","/ˌsaɪməlˈteɪniəs/","adj.","no changes","simultaneously (adv.)","同時發生的","The audience burst into simultaneous applause the moment the pianist finished the difficult final movement.","simultaneous translation; roughly simultaneous; almost simultaneous","B1"
"Analogous","/əˈnæləɡəs tu/","adj.","analogous, more analogous, most analogous","analogy (n.)","與...類似的","A joystick is analogous to the reins of a horse, allowing the player to control movement precisely.","roughly analogous to; closely analogous to; directly analogous to","B1"
"Retain","/rɪˈteɪn/","v.","retain, retains, retained, retained, retaining","retention (n.), retentive (adj.)","保留；保持","This ceramic vessel won't retain water because it has a tiny crack running down the side.","retain control; retain heat; manage to retain","B1"
"Elephantine","/ˌɛləˈfænˌtin/","adj.","elephantine, more elephantine, most elephantine","elephant (n.)","巨大的；笨重的","The country is currently facing an elephantine budget deficit that requires immediate and drastic economic reforms.","elephantine memory; elephantine proportions; almost elephantine","B1"
"Minuscule","/ˈmɪnəˌskjul/","adj.","no changes","None","極小的；微不足道的","He believed that the risk of infection was minuscule if they followed the proper safety protocols.","minuscule amount; minuscule fraction; virtually minuscule","C1"
"Dwarf","/dwɔrf/","adj.","no changes","None","矮小的；發育不全的","The dwarf varieties of these apple trees are perfect for small gardens with limited space.","dwarf star; dwarf planet; dwarf variety","B1"
"Rejuvenate","/rɪˈdʒuvəˌneɪt/","v.","rejuvenate, rejuvenates, rejuvenated, rejuvenated, rejuvenating","rejuvenation (n.)","使年輕；使恢復活力","The weekend spa treatment rejuvenated me completely before I had to return to my stressful job.","rejuvenate the skin; fully rejuvenate; help rejuvenate","C1"
"Surge","/sɜrdʒ/","v.","surge, surges, surged, surged, surging","None","猛增；湧動","Water levels in the river began to surge after three days of continuous heavy rainfall in the mountainous regions.","prices surge; crowd surge; suddenly surge","C1"
"Deplete","/dɪˈplit/","v.","deplete, depletes, depleted, depleted, depleting","depletion (n.)","耗盡；使枯竭","Excessive logging and irresponsible mining operations deplete our natural resources at an alarming rate.","deplete resources; severely deplete; completely deplete","C1"
"Diminish","/dɪˈmɪnɪʃ/","v.","diminish, diminishes, diminished, diminished, diminishing","diminutive (n.)","減少；貶低","The doctor assured me that the drug's side effects should diminish significantly over the next few days.","diminish the importance; gradually diminish; significantly diminish","C1"
"Derive","/dɪˈraɪv frəm/","v.","derive, derives, derived, derived, deriving","derivation (n.), derivative (n.)","源自於；起源於；由……衍生而來","Many English words derive from Latin and Greek roots, making them easier to understand in context.","derive pleasure from; mainly derive from; naturally derive from","C1"
"Prosper","/ˈprɑspər/","v.","prosper, prospers, prospered, prospered, prospering","prosperity (n.), prosperous (adj.)","繁榮；成功","No crop can prosper in this extreme heat without a reliable and efficient irrigation system.","continue to prosper; business prosper; economically prosper","C1"
"Wither","/ˈwɪðər/","v.","wither, withers, withered, withered, withering","None","枯萎；凋謝","The delicate garden plants withered and died because no one remembered to water them during the vacation.","wither and die; slowly wither; begin to wither","C1"
"Stagnate","/ˈstæɡneɪt/","v.","stagnate, stagnates, stagnated, stagnated, stagnating","stagnation (n.), stagnant (adj.)","停滯；不發展","Without continuous learning and professional development, a person's teaching career can easily stagnate over time.","economy stagnate; continue to stagnate; tend to stagnate","C1"
"Extend","/ɪkˈstɛnd/","v.","extend, extends, extended, extended, extending","extension (n.), extensive (adj.)","延伸；擴大","The new policy will extend coverage to include part-time employees who were previously excluded from the benefits program.","extend a deadline; formally extend; logically extend","C1"
"Arbitrary","/ˈɑrbəˌtrɛri/","adj.","arbitrary, more arbitrary, most arbitrary","arbitrarily (adv.)","任意的；武斷的","Students felt that the final exam was unfair because the grading criteria seemed rather arbitrary.","arbitrary decision; somewhat arbitrary; purely arbitrary","B1"
"Rate","/reɪt/","v.","rate, rates, rated, rated, rating","rating (n.)","評估；定級","Independent reviewers rate the proposals according to their scientific merit and potential impact on the field.","highly rate; rate among the best; generally rate","B1"
"Infinitesimal","/ˌɪnfɪnəˈtɛsəməl/","adj.","no changes","infinitesimally (adv.)","極微小的；微不足道的","In the initial stages of the project, any improvement in people’s lives was infinitesimal but promising.","infinitesimal amount; infinitesimal fraction; virtually infinitesimal","B1"
"Adjust","/əˈdʒʌst tu/","v.","adjust, adjusts, adjusted, adjusted, adjusting","adjustment (n.), adjustable (adj.)","適應；調整以順應","She quickly overcame her culture shock and found it relatively easy to adjust to the new country.","adjust to the new environment; quickly adjust to; hard to adjust to","C1"
"Denominator","/dɪˈnɑməˌneɪtər/","n.","denominator, denominators","denominate (v.)","分母；共同特徵","You can only add two fractions together if they have the same common denominator.","common denominator; lowest common denominator; shared denominator","B1"
"Currency","/ˈkɜrənsi/","n. [U]","no changes","current (n.)","貨幣；流通","A new digital currency has been introduced in the foreign exchange market to facilitate international trade.","foreign currency; local currency; gain currency","C1"
"Refund","/rɪˈfʌnd/","v.","refund, refunds, refunded, refunded, refunding","refundable (adj.)","退還；償還","The store agreed to refund the full purchase price after the customer complained about the faulty product.","fully refund; agree to refund; formally refund","B1"
"Reserve","/rɪˈzɜrv/","v.","reserve, reserves, reserved, reserved, reserving","reservation (n.)","預訂；保留","I always reserve a table at the restaurant in advance when dining out during the busy weekend.","reserve a table; reserve the right to; reserve judgment","C1"
"Coinage","/ˈkɔɪnɪdʒ/","n. [U]","no changes","coin (v.)","硬幣；新造詞","The amount of gold coinage in circulation increased nearly six-fold during the peak of the gold rush.","recent coinage; decimal coinage; clever coinage","C1"
"Deficit","/ˈdɛfəsɪt/","n.","deficit, deficits","None","赤字；逆差","The federal government is currently facing a massive deficit of three billion dollars this fiscal year.","budget deficit; trade deficit; run a deficit","C1"
"Impair","/ɪmˈpɛr/","v.","impair, impairs, impaired, impaired, impairing","impairment (n.)","損害；削弱","Prolonged exposure to loud noise can permanently impair your hearing.","impair hearing; completely impair; likely to impair","C1"
"Deteriorate","/dɪˈtɪriəˌreɪt/","v.","deteriorate, deteriorates, deteriorated, deteriorated, deteriorating","deterioration (n.)","惡化；變壞","Exposure to heavy rain will gradually deteriorate the paint on the exterior of the old wooden house.","condition deteriorate; rapidly deteriorate; gradually deteriorate","C1"
"Bruise","/bruz/","v.","bruise, bruises, bruised, bruised, bruising","None","使出現瘀傷","He managed to bruise his knee quite badly while hiking through the rocky terrain near the mountain peak last weekend.","easily bruise; badly bruise; severely bruise","B1"
"Detriment","/ˈdɛtrəmənt/","n.","detriment, detriments","detrimental (adj.)","損害；傷害","The young athlete did extremely hard work without any detriment to his physical health or growth.","to the detriment of; without detriment to; cause detriment","C1"
"Auspicious","/ɔˈspɪʃəs/","adj.","auspicious, more auspicious, most auspicious","auspiciously (adv.)","吉利的；吉祥的","The critical success of his very first novel was an auspicious debut for the young writer.","auspicious beginning; auspicious start; highly auspicious","C1"
"Atrocious","/əˈtroʊʃəs/","adj.","atrocious, more atrocious, most atrocious","atrociously (adv.), atrocity (n.)","極壞的；殘忍的","The prisoner was convicted of a series of atrocious crimes that shocked the entire local community.","atrocious weather; atrocious crime; absolutely atrocious","C1"
"Wrathful","/ˈræθfəl/","adj.","wrathful, more wrathful, most wrathful","wrath (n.)","憤怒的；震怒的","In a wrathful voice, she demanded to know exactly what had happened while she was away.","wrathful gaze; wrathful god; feel wrathful","B1"
"Agreeable","/əˈɡriəbəl/","adj.","agreeable, more agreeable, most agreeable","agreeably (adv.), agree (v.)","令人愉快的；宜人的","They spent a very agreeable evening together discussing their shared interests in classical music and art.","agreeable surprise; agreeable person; perfectly agreeable","B1"
"Decent","/ˈdisənt/","adj.","decent, more decent, most decent","decently (adv.), decency (n.)","像樣的；體面的","He is a decent guy who would go out of his way to help anyone in need.","decent job; decent meal; perfectly decent","B1"
"Malicious","/məˈlɪʃəs/","adj.","malicious, more malicious, most malicious","maliciously (adv.), malice (n.)","惡意的；蓄意的","The malicious neighbor spread false gossip about the family to ruin their reputation in the town.","malicious gossip; malicious intent; purely malicious","C1"
"Nefarious","/nɪˈfɛriəs/","adj.","nefarious, more nefarious, most nefarious","nefariously (adv.)","極度邪惡的；不法的","The criminals came up with a nefarious scheme to cheat elderly people out of their life savings.","nefarious activities; nefarious purpose; nefarious plot","B1"
"Upright","/ˈʌpˌraɪt/","adj.","upright, more upright, most upright","uprightness (n.)","挺直的；正直的","My father has always been an upright citizen who believes in honesty and hard work above all.","upright citizen; sit upright; upright posture","C1"
"Nimble","/ˈnɪmbəl/","adj.","nimble, nimbler, nimblest","nimbly (adv.)","敏捷的；靈活的","Her nimble fingers make knitting complicated patterns look so easy that anyone could do it.","nimble fingers; nimble mind; quick and nimble","B1"
"Brisk","/brɪsk/","adj.","brisk, brisker, briskest","briskly (adv.)","輕快的；生氣勃勃的","They went for a brisk walk in the park to clear their heads before the meeting.","brisk walk; brisk pace; brisk wind","B1"
"Naive","/nɑˈiv/","adj.","naive, naiver, naivest","naivety (n.), naively (adv.)","天真的；幼稚的","I was very young and naive at the time, believing everything that people told me.","naive assumption; incredibly naive; completely naive","B1"
"Sassy","/ˈsæsi/","adj.","sassy, sassier, sassiest","sassiness (n.)","傲慢而無禮的；時髦的","She bought some sassy high heels to wear to the party where she wanted to impress everyone.","sassy attitude; sassy reply; a sassy teenager","B1"
"Alert","/əˈlɜrt/","n.","alert, alerts","alertness (n.)","警報；警戒；戒備狀態","A security alert was issued after suspicious activity was detected near the restricted zone.","on high alert; issue an alert; bomb alert","C1"
"Ascertain","/ˌæsərˈteɪn/","v.","ascertain, ascertains, ascertained, ascertained, ascertaining","None","查明；確定","The police are still trying to ascertain the exact cause of the accident through forensic analysis.","ascertain the facts; ascertain the truth; ascertain with certainty","C1"
"Mitigate","/ˈmɪtəˌɡeɪt/","v.","mitigate, mitigates, mitigated, mitigated, mitigating","mitigation (n.)","減輕；緩和","The government has implemented new policies to mitigate the effects of climate change on coastal communities.","mitigate the risk; mitigate the effects; help mitigate","C1"
"Refute","/rɪˈfjut/","v.","refute, refutes, refuted, refuted, refuting","refutation (n.)","駁斥；反駁","The scientist published a detailed report to refute the claims made by the rival research group.","refute a claim; refute an argument; entirely refute","C1"
"Corroborate","/kəˈrɑbəˌreɪt/","v.","corroborate, corroborates, corroborated, corroborated, corroborating","corroboration (n.), corroborative (adj.)","證實；確證","The witness was able to corroborate the suspect’s alibi, leading to his eventual release from custody.","corroborate the story; closely corroborate; evidence to corroborate","C1"
"Substantiate","/səbˈstænʃiˌeɪt/","v.","substantiate, substantiates, substantiated, substantiated, substantiating","substantiation (n.)","證實；證明...有根據","We need more concrete evidence to substantiate the allegations of financial misconduct within the firm.","substantiate a claim; fail to substantiate; evidence to substantiate","C1"
"Elucidate","/ɪˈlusəˌdeɪt/","v.","elucidate, elucidates, elucidated, elucidated, elucidating","elucidation (n.)","闡明；解釋","The professor used several clear examples to elucidate the complex theories of quantum mechanics.","elucidate the matter; elucidate further; attempt to elucidate","C1"
"Exacerbate","/ɪɡˈzæsərˌbeɪt/","v.","exacerbate, exacerbates, exacerbated, exacerbated, exacerbating","exacerbation (n.)","使加劇；使惡化","The lack of reliable public transportation will only exacerbate the traffic problems in the city center.","exacerbate the problem; exacerbate the situation; further exacerbate","C1"
"Consolidate","/kənˈsɑlɪˌdeɪt/","v.","consolidate, consolidates, consolidated, consolidated, consolidating","consolidation (n.)","鞏固；合併","The two smaller companies decided to consolidate their resources to compete more effectively in the global market.","consolidate power; consolidate debts; successfully consolidate","C1"
"Advocate","/ˈædvəkət/","v.","advocate, advocates, advocated, advocated, advocating","advocacy (n.)","擁護；提倡","Many international organizations advocate for the protection of human rights and environmental conservation.","strongly advocate; actively advocate; advocate for","C1"
"Scrutinize","/ˈskrutnˌaɪz/","v.","scrutinize, scrutinizes, scrutinized, scrutinized, scrutinizing","scrutiny (n.)","仔細檢查；仔細審查","The committee will carefully scrutinize every detail of the proposed budget before making a final decision.","closely scrutinize; carefully scrutinize; deeply scrutinize","C1"
"Synthesize","/ˈsɪnθəˌsaɪz/","v.","synthesize, synthesizes, synthesized, synthesized, synthesizing","synthesis (n.)","合成；綜合","The researchers attempted to synthesize a new compound that could be used in the production of solar panels.","synthesize information; naturally synthesize; artificially synthesize","C1"
"Facilitate","/fəˈsɪlɪˌteɪt/","v.","facilitate, facilitates, facilitated, facilitated, facilitating","facilitation (n.), facilitator (n.)","促進；使便利","The new software update is designed to facilitate communication between different departments within the company.","facilitate learning; help facilitate; greatly facilitate","C1"
"Hinder","/ˈhɪndər/","v.","hinder, hinders, hindered, hindered, hindering","hindrance (n.)","阻礙；妨礙","The heavy snowfall significantly hindered the rescue efforts after the massive earthquake hit the region.","hinder progress; severely hinder; tend to hinder","C1"
"Curtail","/kərˈteɪl/","v.","curtail, curtails, curtailed, curtailed, curtailing","None","縮減；限制","The government had to curtail public spending due to the severe economic crisis facing the country this year.","curtail spending; severely curtail; artificially curtail","C1"
"Initiate","/ɪˈnɪʃiˌeɪt/","v.","initiate, initiates, initiated, initiated, initiating","initiation (n.), initiative (n.)","開始；發起","The management team decided to initiate a new training program for all entry-level employees next month.","initiate a project; formally initiate; actively initiate","C1"
"Validate","/ˈvælɪˌdeɪt/","v.","validate, validates, validated, validated, validating","validation (n.), valid (adj.)","證實；使生效","We need to conduct further experiments to validate the results of our preliminary research study.","validate a claim; fully validate; scientifically validate","C1"
"Augment","/ɔɡˈmɛnt/","v.","augment, augments, augmented, augmented, augmenting","augmentation (n.)","擴大；增加","The company plans to augment its current workforce by hiring several new software developers this year.","augment income; significantly augment; try to augment","C1"
"Speculate","/ˈspɛkjəˌleɪt/","v.","speculate, speculates, speculated, speculated, speculating","speculation (n.), speculative (adj.)","推測；投機","Economists speculate that the interest rates will continue to rise over the next few fiscal quarters.","speculate about; wildly speculate; widely speculate","C1"
"Verify","/ˈvɛrəˌfaɪ/","v.","verify, verifies, verified, verified, verifying","verification (n.)","核實；查證","The bank will need to verify your identity before they can process your application for a new loan.","verify the facts; independently verify; difficult to verify","C1"
"Resolve","/rɪˈzɑlv/","v.","resolve, resolves, resolved, resolved, resolving","resolution (n.), resolved (v.)","解決；決定","The two parties are working hard to resolve their differences through peaceful and constructive dialogue.","resolve a conflict; quickly resolve; peacefully resolve","C1"
