"word","ipa","pos","inflections","derivatives","definition","example","collocations","context_type"
"Polemic","/pəˈlemɪk/","n.","polemic, polemics","polemical (adj.), polemicise (v.), polemicize (v.), polemize (v.)","激烈的爭辯；辯論文章","His essay was less a balanced analysis than a fierce polemic against the prevailing economic orthodoxy of the period.","fierce polemic; political polemic; anti-war polemic","C2"
"Poncho","/ˈpɒntʃəʊ/","n.","poncho, ponchos","None","披風式外套；雨披","Archaeologists examined the woven poncho recovered from the burial site to determine the textile techniques of the ancient Andean culture.","woollen poncho; waterproof poncho; wear a poncho","C2"
"Portend","/pɔːrˈtend/","v.","portend, portends, portended, portended, portending","None","預告；預示；預兆","Economists warned that the sudden decline in consumer spending might portend a broader recession in the coming year.","portend disaster; portend change; portend a crisis","C2"
"Poseur","/pəʊˈzɜːr/","n.","poseur, poseurs","pose (v.)","惺惺作態的人；裝模作樣的人","Critics dismissed the artist as a mere poseur whose work lacked any genuine intellectual substance.","intellectual poseur; artistic poseur; mere poseur","C2"
"Posterity","/pɒˈsterəti/","n. [U]","no changes","None","後代；後世；子孫","The historian carefully archived the manuscripts so that their insights would be preserved for posterity and studied by future scholars.","preserved for posterity; benefit of posterity; recorded for posterity","C2"
"Potable","/ˈpəʊtəbl/","adj.","no changes","None","適於飲用的","Engineers designed the filtration plant to convert contaminated river water into potable water safe for the entire community.","potable water; potable supply; readily potable","C2"
"Preclude","/prɪˈkluːd/","v.","preclude, precludes, precluded, precluded, precluding","preclusion (n.)","排除；杜絕；阻礙","The stringent confidentiality agreement may preclude researchers from publishing their preliminary findings before the study concludes.","preclude the possibility; preclude further discussion; preclude any objection","C2"
"Precursor","/priːˈkɜːrsər/","n.","precursor, precursors","precursory (adj.)","先驅；先鋒；前兆","Many historians regard the printing press as a crucial precursor to the widespread literacy of the modern era.","precursor to acquisition; important precursor; chemical precursor","C2"
"Preemptive","/priˈemptɪv/","adj.","no changes","preempt (v.)","先發制人的；有優先買權的","Economists argued that a preemptive adjustment to interest rates would help contain inflationary pressures before they spread.","preemptive strike; preemptive measure; preemptive action","C2"
"Presage","/ˈpresɪdʒ/","n.","presage, presages","None","（不祥的）預兆；預感","The unusually rapid decline in coral populations was interpreted by scientists as a presage of broader ecological collapse.","presage of disaster; grim presage; presage of change","C2"
"Prism","/ˈprɪzəm/","n.","prism, prisms","prismatic (adj.)","稜鏡；稜柱","When a beam of white light passes through a glass prism, it separates into the distinct colours of the visible spectrum.","optical prism; through the prism of; triangular prism","C2"
"Proliferate","/prəˈlɪfəreɪt/","v.","proliferate, proliferates, proliferated, proliferated, proliferating","proliferation (n.), proliferative (adj.)","激增；擴散","As digital platforms expanded, online misinformation began to proliferate at a rate that regulators struggled to contain.","proliferate rapidly; weapons proliferate; rumours proliferate","C2"
"Prosaic","/prəˈzeɪɪk/","adj.","prosaic, more prosaic, most prosaic","prosaically (adv.)","乏味的；平淡無奇的","Although the theory sounds revolutionary, its practical applications remain rather prosaic and confined to routine industrial tasks.","prosaic style; prosaic detail; prosaic explanation","C2"
"Protuberance","/prəˈtjuːbərəns/","n.","protuberance, protuberances","protrude (v.), protuberant (adj.), protuberate (v.)","凸起；瘤；結節","The anatomist noted a small bony protuberance on the surface of the skull, which served as an attachment point for several muscles.","bony protuberance; rounded protuberance; small protuberance","C2"
"Providential","/ˌprɒvɪˈdenʃl/","adj.","providential, more providential, most providential","providence (n.)","天佑的；幸運的；湊巧的","Historians describe the timely arrival of reinforcements as a providential turn of events that altered the outcome of the campaign.","providential escape; providential intervention; providential timing","C2"
"Prurient","/ˈprʊəriənt/","adj.","prurient, more prurient, most prurient","prurience (n.), pruriency (n.)","迷戀淫慾的；色情的","The court ruled that the publication appealed primarily to a prurient interest rather than serving any genuine literary purpose.","prurient interest; prurient curiosity; prurient appeal","C2"
"Puerile","/ˈpjuːəraɪl/","adj.","puerile, more puerile, most puerile","puerility (n.)","幼稚的；不成熟的；平庸的","Critics dismissed the proposal as puerile, arguing that it ignored the complex economic realities the committee was meant to address.","puerile behavior; puerile humor; puerile remark","C2"
"Pulchritude","/ˈpʌlkrɪtjuːd/","n. [U]","no changes","pulchritudinous (adj.)","美麗；標緻","Renaissance painters were preoccupied with physical pulchritude, treating the idealized human form as a reflection of divine harmony.","physical pulchritude; feminine pulchritude; youthful pulchritude","C2"
"Pulverize","/ˈpʌlvəraɪz/","v.","pulverize, pulverizes, pulverized, pulverized, pulverizing","pulverisation (n.), pulverization (n.)","把東西壓成粉；壓垮；粉碎","In the laboratory, the mineral samples are pulverized into a fine powder before being analyzed by the spectrometer.","pulverize into powder; completely pulverize; pulverize the rock","C2"
"Pungency","/ˈpʌndʒənsi/","n. [U]","no changes","pungent (adj.)","辛辣；敏銳；尖刻","The pungency of the spice is determined largely by the concentration of certain alkaloid compounds present in the plant.","pungency of flavor; characteristic pungency; intense pungency","C2"
"Purveyor","/pərˈveɪər/","n.","purveyor, purveyors","purvey (v.)","供應商；承辦商","The company established itself as a leading purveyor of fine textiles, supplying merchants across several continents.","purveyor of goods; leading purveyor; purveyor of information","C2"
"Pusillanimous","/ˌpjuːsɪˈlænɪməs/","adj.","pusillanimous, more pusillanimous, most pusillanimous","pusillanimity (n.)","膽怯的；優柔寡斷的","The general was widely criticized for his pusillanimous decision to retreat when a decisive advance might have ended the conflict.","pusillanimous behavior; pusillanimous response; pusillanimous leader","C2"
"Putrid","/ˈpjuːtrɪd/","adj.","putrid, more putrid, most putrid","putridity (n.), putridness (n.)","惡臭的；腐臭的；腐敗的","The researchers detected a putrid odor emanating from the decaying organic matter at the bottom of the stagnant pond.","putrid odor; putrid smell; putrid flesh","C2"
"Quack","/kwæk/","n.","quack, quacks","quackery (n.)","江湖郎中；庸醫；騙子","The medical board exposed the practitioner as a quack who had sold worthless remedies to desperate patients for years.","medical quack; notorious quack; expose a quack","C2"
"Quack","/kwæk/","v.","quack, quacks, quacked, quacked, quacking","quackery (n.)","（鴨子）呱呱叫","Researchers observed how the ducks quack repeatedly to coordinate their movements when the flock takes flight across the wetland.","quack loudly; quack repeatedly; quack in alarm","C2"
"Quagmire","/ˈkwæɡmaɪər/","n.","quagmire, quagmires","None","泥沼；困境；危險的局面","The prolonged intervention gradually drew the administration into a costly military quagmire from which it could find no clear exit.","legal quagmire; military quagmire; sink into a quagmire","C2"
"Quaint","/kweɪnt/","adj.","quaint, more quaint, most quaint","quaintness (n.)","別緻的；古雅的；古怪有趣的","The novelist described the quaint coastal village with its narrow cobbled streets and weathered fishermen's cottages overlooking the harbour.","quaint village; quaint custom; delightfully quaint","C2"
"Qualm","/kwɑːm/","n.","qualm, qualms","None","疑慮；擔心","The committee expressed serious qualms about the proposal, fearing that its long-term consequences had not been adequately examined.","have qualms; moral qualms; serious qualms","C2"
"Quandary","/ˈkwɒndəri/","n.","quandary, quandaries","None","困境；猶豫不決；窘境","The board faced a genuine quandary over whether to prioritise short-term profits or invest heavily in long-term sustainability.","moral quandary; in a quandary; resolve a quandary","C2"
"Quash","/kwɒʃ/","v.","quash, quashes, quashed, quashed, quashing","None","鎮壓；平息；撤銷（判決）","The appellate court decided to quash the lower court's ruling on the grounds of procedural irregularity.","quash a rebellion; quash a conviction; quash an appeal","C2"
"Quintessential","/ˌkwɪntɪˈsenʃl/","adj.","no changes","quintessence (n.)","經典的；最本質的；典型的","Scholars regard this essay as the quintessential expression of Enlightenment rationalism and its faith in human reason.","quintessential example; quintessential expression; quintessential representation","C2"
"Quixotic","/kwɪkˈsɒtɪk/","adj.","quixotic, more quixotic, most quixotic","quixotically (adv.)","不切實際的；異想天開的","The mayor's quixotic plan to construct affordable housing in one of the city's most expensive districts was widely regarded as impractical from the outset.","quixotic quest; quixotic scheme; quixotic ideal","C2"
"Quizzical","/ˈkwɪzɪkl/","adj.","quizzical, more quizzical, most quizzical","None","滑稽逗趣的；感到奇怪的","The professor raised a quizzical eyebrow when the student proposed such an unconventional interpretation of the text.","quizzical look; quizzical expression; quizzical glance","C2"
"Quotidian","/kwəʊˈtɪdiən/","adj.","quotidian, more quotidian, most quotidian","quotidianly (adv.)","日常的；平常的；平凡的","Ethnographers argue that the quotidian routines of ordinary households reveal more about a culture than its grand public ceremonies do.","quotidian existence; quotidian routine; quotidian concerns","C2"
"Ramification","/ˌræmɪfɪˈkeɪʃn/","n.","ramification, ramifications","ramify (v.)","可能衍生的後果；分叉","The study examines the long-term ramifications of deforestation for regional rainfall patterns and agricultural productivity.","serious ramifications; legal ramifications; wider ramifications","C2"
"Ramify","/ˈræmɪfaɪ/","v.","ramify, ramifies, ramified, ramified, ramifying","ramification (n.)","分支；成網狀","As the inquiry proceeded, the original allegations began to ramify into a network of related financial irregularities.","ramify into branches; rapidly ramify; ramify outward","C2"
"Rancid","/ˈrænsɪd/","adj.","rancid, more rancid, most rancid","rancidness (n.), rancidity (n.)","（油或肉）不新鮮的；腐敗的；有陳腐味的","Without refrigeration, the fats in stored food quickly turn rancid as oxidation breaks down their molecular structure.","rancid butter; rancid smell; turn rancid","C2"
"Ratify","/ˈrætɪfaɪ/","v.","ratify, ratifies, ratified, ratified, ratifying","ratification (n.), ratifier (n.)","正式批准；使生效","Member states were required to ratify the convention before its environmental provisions could take legal effect.","ratify a treaty; ratify an agreement; formally ratify","C2"
"Raucous","/ˈrɔːkəs/","adj.","raucous, more raucous, most raucous","raucously (adv.), raucousness (n.)","刺耳的；吵鬧的；粗聲的","The normally reserved conference hall descended into raucous debate once the controversial proposal was announced.","raucous laughter; raucous crowd; raucous cheers","C2"
"Recalcitrant","/rɪˈkælsɪtrənt/","adj.","recalcitrant, more recalcitrant, most recalcitrant","recalcitrance (n.)","反抗的；頑強的；不聽話的","Negotiators found it difficult to reach consensus because several recalcitrant delegates refused to compromise on key provisions.","recalcitrant attitude; recalcitrant minority; recalcitrant behaviour","C2"
"Recapitulate","/ˌriːkəˈpɪtʃuleɪt/","v.","recapitulate, recapitulates, recapitulated, recapitulated, recapitulating","recapitulation (n.), recap (n.)","總結；扼要重述","Before presenting new evidence, the author pauses to recapitulate the central arguments developed in the preceding chapters.","briefly recapitulate; recapitulate the argument; recapitulate the findings","C2"
"Reciprocity","/ˌresɪˈprɒsəti/","n. [U]","no changes","reciprocal (adj.), reciprocate (v.)","互助；互惠","The theory holds that social cooperation rests on norms of reciprocity, in which favours given are expected to be returned.","principle of reciprocity; social reciprocity; mutual reciprocity","C2"
"Recluse","/rɪˈkluːs/","n.","recluse, recluses","reclusiveness (n.)","隱遁者；孤寂的人","In his later years the scholar became a recluse, withdrawing from public life to pursue his research in isolation.","social recluse; famous recluse; live as a recluse","C2"
"Recuperate","/rɪˈkuːpəreɪt/","v.","recuperate, recuperates, recuperated, recuperated, recuperating","recuperation (n.), recuperative (adj.)","恢復；挽回；康復","After the prolonged surgery, the patient was advised to recuperate for several weeks before resuming any strenuous activity.","recuperate from illness; fully recuperate; time to recuperate","C2"
"Regicide","/ˈredʒɪsaɪd/","n.","regicide, regicides","None","弒君；弒君者","Historians continue to debate whether the regicide of the king was a justified act of political resistance or an unlawful seizure of power.","commit regicide; act of regicide; accused of regicide","C2"
"Rejoinder","/rɪˈdʒɔɪndər/","n.","rejoinder, rejoinders","None","回答；反駁；答辯","The philosopher offered a sharp rejoinder to his critics, systematically refuting each of their objections in turn.","sharp rejoinder; offer a rejoinder; witty rejoinder","C2"
"Relapse","/rɪˈlæps/","n.","relapse, relapses","lapse (n.), relapsing (n.)","復發；退回原狀","Clinical studies indicate that patients who discontinue their medication prematurely face a significantly higher risk of relapse.","risk of relapse; suffer a relapse; prevent relapse","C2"
"Relapse","/rɪˈlæps/","v.","relapse, relapses, relapsed, relapsed, relapsing","lapse (n.), relapsing (n.)","故態復萌；（病）復發","Without sustained therapeutic support, many recovering patients tend to relapse into their former patterns of behaviour.","relapse into addiction; likely to relapse; relapse repeatedly","C2"
"Rescind","/rɪˈsɪnd/","v.","rescind, rescinds, rescinded, rescinded, rescinding","rescission (n.)","廢除；撤銷；取消","The board voted unanimously to rescind the controversial policy after numerous stakeholders raised legal and ethical concerns.","rescind a decision; rescind an offer; vote to rescind","C2"
"Respite","/ˈrespɪt/","n. [U]","no changes","None","暫時中止；歇止；喘息","The temporary ceasefire offered the war-torn region a brief respite from months of relentless bombardment.","brief respite; offer respite; respite from stress","C2"
"Resplendent","/rɪˈsplendənt/","adj.","resplendent, more resplendent, most resplendent","resplendence (n.), resplendently (adv.)","輝煌璀璨的；華麗的；燦爛的","The cathedral interior was resplendent with gilded mosaics and intricate frescoes that drew scholars from across Europe.","resplendent in colour; look resplendent; resplendent attire","C2"
"Resuscitate","/rɪˈsʌsɪteɪt/","v.","resuscitate, resuscitates, resuscitated, resuscitated, resuscitating","resuscitation (n.), resuscitator (n.)","搶救使復活；使甦醒","Paramedics worked frantically to resuscitate the collapsed runner, restoring his heartbeat after several anxious minutes.","resuscitate a patient; attempt to resuscitate; successfully resuscitate","C2"
"Resuscitation","/rɪˌsʌsɪˈteɪʃn/","n. [U]","no changes","resuscitate (v.)","復活；復甦術","Prompt cardiopulmonary resuscitation can dramatically improve a victim's chances of survival following sudden cardiac arrest.","cardiopulmonary resuscitation; successful resuscitation; attempt resuscitation","C2"
"Rivulet","/ˈrɪvjələt/","n.","rivulet, rivulets","None","小溪；小河；細流","As the glacier melted, a thin rivulet of meltwater carved a narrow channel across the exposed bedrock.","mountain rivulet; tiny rivulet; rivulet of water","C2"
"Rookery","/ˈrʊkəri/","n.","rookery, rookeries","None","棲息地（群居鳥類或海豹）","Researchers monitored the seabird rookery each spring to estimate breeding success and population trends along the coast.","seal rookery; penguin rookery; breeding rookery","C2"
"Ropy","/ˈrəʊpi/","adj.","ropy, ropier, ropiest","None","狀況差的；糟糕的；粘性的","The bacterial culture secreted a ropy substance that clouded the broth and clung to the walls of the flask.","ropy texture; ropy substance; ropy consistency","C2"
"Rust belt","/ˈrʌst belt/","n. [U]","no changes","None","鏽帶（指工業衰退地區）","Economists studying the American rust belt have documented the long-term social consequences of deindustrialization on once-thriving communities.","American rust belt; rust belt city; declining rust belt","C2"
"Salutary","/ˈsæljətəri/","adj.","salutary, more salutary, most salutary","None","（對行為或性格的改善）有益的；有救的","The financial crisis had a salutary effect on regulators, prompting them to reform the oversight of lending practices.","salutary effect; salutary lesson; salutary reminder","C2"
"Sanguine","/ˈsæŋɡwɪn/","adj.","sanguine, more sanguine, most sanguine","sanguinely (adv.), sanguinity (n.)","樂觀的；樂天的；面色紅潤的","Despite the disappointing preliminary results, the lead investigator remained sanguine about the eventual success of the trial.","sanguine about; remain sanguine; sanguine outlook","C2"
"Scoff","/skɒf/","v.","scoff, scoffs, scoffed, scoffed, scoffing","scoffer (n.), scoffing (n.)","嘲笑；藐視；（狼吞虎嚥）","Many contemporaries scoffed at the theory when it was first proposed, dismissing it as a mere intellectual curiosity.","scoff at; scoff at the idea; openly scoff","C2"
"Scruple","/ˈskruːpl/","n.","scruple, scruples","scrupulous (adj.)","顧忌；顧慮","The committee acted without scruple, approving the contentious experiment despite the ethical objections raised by several members.","moral scruple; without scruple; ethical scruple","C2"
"Sedulous","/ˈsedjələs/","adj.","sedulous, more sedulous, most sedulous","sedulously (adv.), sedulity (n.)","勤奮的；刻苦的；鍥而不捨的","Through sedulous attention to detail, the archivist reconstructed the manuscript from hundreds of fragmentary and decaying pages.","sedulous attention; sedulous effort; sedulous research","C2"
"Sham","/ʃæm/","n.","sham, shams","shammer (n.)","假象；騙局；假裝的人","Critics argued that the election was a sham, since opposition candidates had been barred from appearing on the ballot.","complete sham; sham marriage; elaborate sham","C2"
"Sham","/ʃæm/","v.","sham, shams, shammed, shammed, shamming","shammer (n.)","欺騙；假裝","Some employees shammed enthusiasm during the reorganization, fearing that open dissent would jeopardize their positions.","sham an illness; sham indifference; sham compliance","C2"
"Shard","/ʃɑːrd/","n.","shard, shards","None","（瓷器或金屬的）碎片","Archaeologists carefully catalogued each pottery shard recovered from the excavation, reconstructing the vessel's original form.","pottery shard; glass shard; ceramic shard","C2"
"Shun","/ʃʌn/","v.","shun, shuns, shunned, shunned, shunning","shunning (n.)","避開；避免","Many indigenous communities historically shunned outsiders who failed to respect their customs and territorial boundaries.","shun publicity; shun controversy; shun responsibility","C2"
"Shutter","/ˈʃʌtər/","v.","shutter, shutters, shuttered, shuttered, shuttering","shut (v.)","關上；停止；裝上百葉窗","The economic downturn forced the corporation to shutter several manufacturing plants across the region.","shutter a business; shutter a factory; shutter operations","C2"
"Skewed","/skjuːd/","adj.","skewed, more skewed, most skewed","skewness (n.)","歪曲的；偏斜的；偏頗的","The survey produced a skewed distribution because the sample overrepresented affluent urban households.","skewed distribution; skewed perception; skewed sample","C2"
"Skiff","/skɪf/","n.","skiff, skiffs","None","小艇；小型帆船","The researchers rowed a small skiff across the lagoon to collect water samples near the reef.","small skiff; wooden skiff; row a skiff","C2"
"Skinflint","/ˈskɪnflɪnt/","n.","skinflint, skinflints","None","鐵公雞；吝嗇的人","The biography portrays the industrialist as a notorious skinflint who underpaid his workers while amassing a vast fortune.","notorious skinflint; miserly skinflint; penny-pinching skinflint","C2"
"Skirmish","/ˈskɜːrmɪʃ/","n.","skirmish, skirmishes","skirmisher (n.)","小衝突；小規模戰鬥","The treaty negotiations were repeatedly disrupted by a border skirmish between the rival factions.","border skirmish; brief skirmish; minor skirmish","C2"
"Skit","/skɪt/","n.","skit, skits","None","幽默短劇；滑稽劇","Students performed a satirical skit that parodied contemporary political rhetoric for their drama assessment.","comedy skit; satirical skit; perform a skit","C2"
"Skitter","/ˈskɪtər/","v.","skitter, skitters, skitterred, skitterred, skitterring","None","快速移動；敏捷跑動","The lizards skitter across the desert sand whenever a shadow passes overhead, evading potential predators.","skitter across; skitter away; skitter over","C2"
"Sluggard","/ˈslʌɡəd/","n.","sluggard, sluggards","slug (v.)","懶鬼；懶惰的人","The proverb warns that the sluggard who delays his work until tomorrow will accomplish nothing of lasting value.","a lazy sluggard; the idle sluggard; rouse the sluggard","C2"
"Smolder","/ˈsməʊldər/","v.","smolder, smolders, smoldered, smoldered, smoldering","None","持續悶燒；（感情）潛伏","The embers continued to smolder for hours after the campfire had apparently been extinguished, releasing a faint plume of smoke.","smolder with resentment; slowly smolder; smolder beneath the surface","C2"
"Sobriety","/səˈbraɪəti/","n. [U]","no changes","sober (v.), soberly (adv.)","清醒；未醉；莊重","The judge praised the defendant for the sobriety and discipline he had demonstrated throughout his lengthy rehabilitation.","a sobriety test; period of sobriety; maintain sobriety","C2"
"Solipsism","/ˈsɒlɪpsɪzəm/","n. [U]","no changes","None","唯我論；唯我主義","Critics accused the philosopher of a kind of intellectual solipsism that prevented him from engaging seriously with any viewpoint other than his own.","philosophical solipsism; ethical solipsism; epistemological solipsism","C2"
"Soporific","/ˌsɒpəˈrɪfɪk/","adj.","soporific, more soporific, most soporific","soporifically (adv.)","讓人昏昏欲睡的","The professor's monotonous delivery had a soporific effect, and several students struggled to keep their eyes open during the lecture.","a soporific effect; soporific monotony; soporific drug","C2"
"Spendthrift","/ˈspendθrɪft/","n.","spendthrift, spendthrifts","spend (v.)","揮霍無度的人；敗家子","Economists note that a chronic spendthrift often accumulates substantial debt by prioritizing immediate gratification over long-term financial security.","a reckless spendthrift; notorious spendthrift; spendthrift habits","C2"
"Spurious","/ˈspjʊəriəs/","adj.","spurious, more spurious, most spurious","spuriously (adv.), spuriousness (n.)","虛假的；欺騙的；謬誤的","Researchers must be careful to distinguish a genuine causal relationship from a spurious correlation produced by an unobserved variable.","a spurious correlation; spurious reasoning; spurious claim","C2"
"Staid","/steɪd/","adj.","staid, staider, staidest","staidness (n.)","古板的；嚴肅的；無趣的","The once staid institution gradually adopted a more progressive curriculum to appeal to a younger generation of scholars.","a staid institution; staid demeanor; staid conventions","C2"
"Stilted","/ˈstɪltɪd/","adj.","stilted, more stilted, most stilted","None","生硬的；不自然的；（言行）做作的","The official communiqué was praised for its precision but criticized for its stilted formality, which made it difficult for the general public to understand.","stilted prose; stilted dialogue; stilted formality","C2"
"Stint","/stɪnt/","n.","stint, stints","stinter (n.)","工作；規定期限；限額","After a brief stint as a research assistant, she went on to pursue an advanced degree in molecular biology.","a brief stint; stint as director; two-year stint","C2"
"Stipulate","/ˈstɪpjuleɪt/","v.","stipulate, stipulates, stipulated, stipulated, stipulating","stipulation (n.), stipulatory (adj.)","（在協議中）明文規定；約定","The terms of the grant clearly stipulate that the funds must be used solely for academic research.","stipulate the conditions; expressly stipulate; stipulate a deadline","C2"
"Stolid","/ˈstɒlɪd/","adj.","stolid, more stolid, most stolid","stolidity (n.), stolidness (n.)","冷漠的；無動於衷的；呆板的","The witness remained stolid throughout the cross-examination, betraying no emotion despite the pointed questions.","stolid expression; stolid demeanour; remarkably stolid","C2"
"Strident","/ˈstraɪdnt/","adj.","strident, more strident, most strident","stridence (n.)","刺耳的；強硬的；咄咄逼人的","Critics adopted an increasingly strident tone when denouncing the government's environmental policy.","strident tone; strident opposition; strident demands","C2"
"Stupefy","/ˈstjuːpɪfaɪ/","v.","stupefy, stupefies, stupefied, stupefied, stupefying","stupefaction (n.)","使吃驚；使麻木；使發呆","The sheer scale of the cosmological data continues to stupefy researchers attempting to model the early universe.","stupefy the audience; utterly stupefy; stupefy the mind","C2"
"Subjugate","/ˈsʌbdʒuɡeɪt/","v.","subjugate, subjugates, subjugated, subjugated, subjugating","subjection (n.), subject (n.)","征服；屈服","The empire sought to subjugate the neighbouring tribes through a combination of military force and economic coercion.","subjugate a population; seek to subjugate; subjugate the conquered","C2"
"Subvert","/səbˈvɜːrt/","v.","subvert, subverts, subverted, subverted, subverting","subversion (n.)","破壞；顛覆（既有體制）","Propaganda was deployed systematically to subvert public confidence in the established political order.","subvert authority; subvert the established order; deliberately subvert","C2"
"Suffrage","/ˈsʌfrɪdʒ/","n. [U]","no changes","suffragette (n.), suffragist (n.)","選舉權；投票權","The movement campaigned for decades before universal suffrage was finally extended to all adult citizens.","universal suffrage; women's suffrage; extend suffrage","C2"
"Supersede","/ˌsuːpəˈsiːd/","v.","supersede, supersedes, superseded, superseded, superseding","supersedure (n.), supersession (n.)","替代；取代","Newer theoretical models gradually superseded the classical framework that had dominated the field for decades.","supersede an earlier model; gradually supersede; supersede previous legislation","C2"
"Supplant","/səˈplænt/","v.","supplant, supplants, supplanted, supplanted, supplanting","supplanter (n.)","代替；取代","Digital archives have steadily begun to supplant printed records in most major research libraries.","supplant traditional methods; gradually supplant; supplant an incumbent","C2"
"Surfeit","/ˈsɜːrfɪt/","n.","surfeit, surfeits","None","過剩；過量；過度","The analysis was hampered by a surfeit of conflicting data rather than a shortage of evidence.","surfeit of information; surfeit of evidence; a surfeit of choices","C2"
"Swerve","/swɜːrv/","v.","swerve, swerves, swerved, swerved, swerving","swerving (n.)","突然改變方向；突然急轉彎","When the data contradicted his hypothesis, the researcher refused to swerve from his original conclusion, ignoring the evidence entirely.","swerve sharply; swerve to avoid; swerve off course","C2"
"Umbrage","/ˌteɪk ˈʌmbrɪdʒ/","n. [U]","no changes","None","生氣；惱怒","Several senior scholars took umbrage at the committee's decision to exclude their recommendations from the final report.","take umbrage at; quick to take umbrage; take umbrage over","C2"
"Tandem","/ˈtændəm/","adj.","tandem, more tandem, most tandem","None","一前一後的；雙人的","The two research institutes pursued a tandem investigation, coordinating their methods so that the findings could be directly compared.","tandem arrangement; tandem configuration; tandem bicycle","C2"
"Tangential","/tænˈdʒenʃl/","adj.","tangential, more tangential, most tangential","tangent (n.)","離題的；不相關的；切線的","The committee dismissed the objection as tangential, noting that it had little bearing on the central question of the study.","tangential remark; tangential relevance; largely tangential","C2"
"Taper","/ˈteɪpər/","v.","taper, tapers, tapered, tapered, tapering","tapering (n.)","使一端逐漸變窄；逐漸減少","Economists predicted that inflation would taper gradually as the central bank tightened its monetary policy over the coming year.","taper off; taper gradually; taper stimulus spending","C2"
"Tautology","/tɔːˈtɒlədʒi/","n.","tautology, tautologies","tautological (adj.), tautologic (adj.)","同義反覆；贅述；冗詞","The reviewer criticized the definition as a mere tautology, since it explained the term simply by restating it in different words.","empty tautology; logical tautology; verge on tautology","C2"
"Tawdry","/ˈtɔːdri/","adj.","tawdry, tawdrier, tawdriest","tawdriness (n.)","花俏的；庸俗的；廉價的","Critics argued that the film reduced a serious historical tragedy to a tawdry spectacle aimed solely at commercial gain.","tawdry display; tawdry imitation; tawdry ornament","C2"
"Teeter","/ˈtiːtər/","v.","teeter, teeters, teetered, teetered, teetering","None","搖搖欲墜；蹣跚行走；猶豫不決","By the end of the decade, the fragile economy continued to teeter on the brink of collapse despite repeated government intervention.","teeter on the brink; teeter on the edge; teeter precariously","C2"
"Teetotal","/ˌtiːˈtəʊtl/","adj.","no changes","teetotaller (n.)","絕對戒酒的；反對喝酒的","Several members of the temperance society adopted a strictly teetotal regimen, abstaining from all alcohol throughout their adult lives.","teetotal household; remain teetotal; teetotal principles","C2"
"Telenovela","/ˌtelənəʊˈvelə/","n.","telenovela, telenovelas","None","電視小說劇；肥皂劇","Scholars of Latin American media frequently examine the telenovela as a cultural form that reflects shifting social values across generations.","popular telenovela; Mexican telenovela; telenovela format","C2"
"Temerity","/təˈmerəti/","n. [U]","no changes","temerarious (adj.)","冒失；魯莽；蠻勇","Few junior researchers have the temerity to openly challenge the conclusions of an established authority in their field.","have the temerity to; sheer temerity of; such temerity","C2"
"Temperance","/ˈtempərəns/","n. [U]","no changes","temper (v.)","節制；克制（戒酒）","The nineteenth-century temperance movement campaigned vigorously for laws restricting the sale and consumption of alcohol.","practice temperance; temperance movement; advocate temperance","C2"
"Testy","/ˈtesti/","adj.","testy, testier, testiest","None","暴躁的；易怒的","The professor grew increasingly testy when students repeatedly questioned the validity of his methodology.","testy mood; testy response; testy exchange","C2"
"Thuggish","/ˈθʌɡɪʃ/","adj.","thuggish, more thuggish, most thuggish","None","凶殺的；謀財害命的；暴徒般的","Historians have documented the thuggish tactics that the regime used to intimidate its political opponents into silence.","thuggish behaviour; thuggish tactics; thuggish elements","C2"
"Tit-for-tat","/ˌtɪt fər ˈtæt/","n. [U]","no changes","None","針鋒相對；一報還一報","The two nations engaged in a tit-for-tat exchange of trade tariffs that threatened to escalate into a full-scale trade war.","tit-for-tat response; tit-for-tat strategy; tit-for-tat retaliation","C2"
"Titular","/ˈtɪtjələr/","adj.","titular, more titular, most titular","None","名義上的；有名無實的","After the constitutional reforms, the monarch became merely the titular head of state, with no genuine political authority.","titular head; titular leader; titular role","C2"
"Toady","/ˈtəʊdi/","n.","toady, toadies","None","馬屁精；諂媚者","The minister surrounded himself with toadies who flattered his every decision rather than offering honest counsel.","political toady; obsequious toady; royal toady","C2"
"Tome","/təʊm/","n.","tome, tomes","None","巨著；大部頭書","The scholar spent years compiling a weighty tome that surveyed the entire history of medieval philosophy.","weighty tome; massive tome; scholarly tome","C2"
"Topple","/ˈtɒpl/","v.","topple, topples, toppled, toppled, toppling","None","使倒下；傾塌；推翻","Widespread popular protests eventually toppled the authoritarian government that had ruled the nation for decades.","topple a government; topple a regime; topple from power","C2"
"Torque","/tɔːrk/","n. [U]","no changes","None","扭力；轉矩","Engineers measured the torque generated by the motor to determine its rotational force at varying speeds.","engine torque; maximum torque; apply torque","C2"
"Torrid","/ˈtɒrɪd/","adj.","torrid, more torrid, most torrid","torridity (n.)","炙熱的；艱困的；熱情的","The torrid climate of the equatorial region poses significant challenges for sustained agricultural production.","torrid heat; torrid climate; torrid conditions","C2"
"Trickle","/ˈtrɪkl/","v.","trickle, trickles, trickled, trickled, trickling","None","（使）滴流；緩慢移動","Economists argue that wealth does not always trickle down from the affluent to the poorer segments of society.","trickle down; trickle through; slowly trickle","C2"
