"Word","IPA","POS","Inflections","Definition","Example","Collocations","Context_Type"
"caribou","/ˈkærɪbuː/","n.","caribou","北美馴鹿","Indigenous groups in the Arctic have relied on the annual migration of caribou for centuries.","herd of caribou; caribou hunting","Academic"
"bankroll","/ˈbæŋkrəʊl/","v. / n.","bankrolled, bankrolling","資助；提供資金","The project was bankrolled by a group of private investors who saw its potential.","bankroll a campaign; secure a bankroll","Workplace"
"taper","/ˈteɪpər/","v. / n.","tapered, tapering","使一端逐漸變窄；逐漸減少","The rain began to taper off in the late afternoon, allowing us to go outside.","taper off; tapered end","Social"
"grapple","/ˈɡræpl/","v.","grappled, grappling","搏鬥；格鬥；努力解決（問題）","The government's struggling to grapple with the rising costs of healthcare and education.","grapple with a problem; grapple for control","Workplace"
"draconian","/drəˈkəʊniən/","adj.","-","嚴厲的；酷苛的","The organization criticized the new regulations as being draconian and unnecessary.","draconian measures; draconian laws","Legal"
"thuggish","/ˈθʌɡɪʃ/","adj.","thuggishly","兇狠的；暴徒般的","He was condemned for his thuggish behavior and use of violence against protestors.","thuggish tactics; thuggish appearance","Social"
"vexing","/ˈveksɪŋ/","adj.","vexingly","令人煩惱的；使人惱火的","The persistent noise from the neighboring construction site's become quite vexing.","vexing problem; vexing issue","Social"
"boon","/buːn/","n.","-","恩惠；福音；大利益","The new highway's been a real boon to local businesses, bringing in thousands of tourists.","be a boon to; great boon","Social"
"take umbrage","/teɪk ˈʌmbrɪdʒ/","ph.","took umbrage, taken umbrage","生氣；惱怒","He took umbrage at the suggestion that his work wasn't up to the required standard.","take umbrage at; quick to take umbrage","Social"
"tussle with","/ˈtʌsl wɪð/","ph.","tussled with, tussling with","爭辯；扭打；努力處理","The committee's been tussling with the budget for weeks but hasn't reached a decision yet.","tussle with a decision; brief tussle","Workplace"
"invariant","/ɪnˈveəriənt/","adj. / n.","invariants","不變的；恆定的；不變量","In many physical systems, the total amount of energy remains invariant over time.","invariant property; mathematical invariant","Academic"
"perquisite","/ˈpɜːrkwɪzɪt/","n.","perquisites","額外補貼；津貼（特別是職務上的）","One of the perquisites of the job's a company car and a private health insurance plan.","job perquisites; usual perquisites","Workplace"
"whirly","/ˈwɜːrli/","adj.","-","旋轉的；旋風的","The children watched the whirly seeds falling from the trees like tiny helicopters.","whirly motion; whirly wind","Social"
"supplant","/səˈplænt/","v.","supplanted, supplanting","取代；替代","Printed books've not been entirely supplanted by e-books, as many people predicted.","supplant a rival; be supplanted by","Academic"
"paroxysm","/ˈpærəksɪzəm/","n.","paroxysms","（感情的）爆發；（病）週期性發作","He was suddenly overcome by a paroxysm of coughing that lasted for several minutes.","paroxysm of rage; paroxysm of laughter","Academic"
"upend","/ʌpˈend/","v.","upended, upending","倒放；顛倒；徹底改變","The discovery of the new fossils has the potential to upend current theories of evolution.","upend the market; be upended","Academic"
"braconid","/ˈbrækənɪd/","n. / adj.","braconids","小繭蜂；繭蜂科的","Braconid wasps're often used in biological control to manage pest populations in farming.","braconid wasp; parasitic braconid","Academic"
"quixotic","/kwɪkˈsɒtɪk/","adj.","quixotically","不切實際的；異想天開的","His quixotic plan to sail around the world in a tiny boat was met with skepticism.","quixotic quest; quixotic ideal","Social"
